"Id","Model","Price","Age_08_04","Mfg_Month","Mfg_Year","KM","Fuel_Type","HP","Met_Color","Color","Automatic","CC","Doors","Cylinders","Gears","Quarterly_Tax","Weight","Mfr_Guarantee","BOVAG_Guarantee","Guarantee_Period","ABS","Airbag_1","Airbag_2","Airco","Automatic_airco","Boardcomputer","CD_Player","Central_Lock","Powered_Windows","Power_Steering","Radio","Mistlamps","Sport_Model","Backseat_Divider","Metallic_Rim","Radio_cassette","Parking_Assistant","Tow_Bar","Price_Per_KM","High_Mileage","HP_Per_Weight","Price_Tier"
11,"TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors",20950,25,8,2002,31461,"Petrol",192,0,"Silver",0,1800,3,4,6,100,1185,1,1,12,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.665903817424748,"Low",0.162025316455696,"Premium"
12,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors",19950,22,11,2002,43610,"Petrol",192,0,"Red",0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0.457463884430177,"Low",0.162025316455696,"Premium"
13,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",19600,25,8,2002,32189,"Petrol",192,0,"Red",0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0.60890366274193,"Low",0.162025316455696,"Premium"
14,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",21500,31,2,2002,23000,"Petrol",192,1,"Black",0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.934782608695652,"Low",0.162025316455696,"Premium"
15,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",22500,32,1,2002,34131,"Petrol",192,1,"Grey",0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.65922475169201,"Low",0.162025316455696,"Premium"
16,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",22000,28,5,2002,18739,"Petrol",192,0,"Grey",0,1800,3,4,6,100,1185,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1.1740220929612,"Low",0.162025316455696,"Premium"
17,"TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors",22750,30,3,2002,34000,"Petrol",192,1,"Grey",0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0.669117647058823,"Low",0.162025316455696,"Premium"
18,"TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors",17950,24,9,2002,21716,"Petrol",110,1,"Blue",0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.826579480567324,"Low",0.0995475113122172,"Premium"
19,"TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors",16750,24,9,2002,25563,"Petrol",110,0,"Grey",0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.655243907209639,"Low",0.103286384976526,"Premium"
20,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors",16950,30,3,2002,64359,"Petrol",110,1,"Grey",0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.263366428937678,"Low",0.0995475113122172,"Premium"
21,"TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors",15950,30,3,2002,67660,"Petrol",110,1,"Blue",0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0.235737511084836,"Low",0.0995475113122172,"Premium"
22,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors",16950,29,4,2002,43905,"Petrol",110,0,"Grey",1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0.386060813119235,"Low",0.094017094017094,"Premium"
23,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",15950,28,5,2002,56349,"Petrol",110,1,"Black",0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0.283057374576301,"Low",0.0982142857142857,"Premium"
24,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",16950,61,5,2002,32220,"Petrol",110,1,"Black",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.526070763500931,"Low",0.0982142857142857,"Premium"
25,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",16250,29,4,2002,25813,"Petrol",110,1,"Grey",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.629527757331577,"Low",0.0982142857142857,"Premium"
26,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",15950,25,8,2002,28450,"Petrol",110,1,"Blue",0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0.560632688927944,"Low",0.0982142857142857,"Premium"
27,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",17495,27,6,2002,34545,"Petrol",110,1,"Blue",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0.506440874222029,"Low",0.0982142857142857,"Premium"
28,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",15750,29,4,2002,41415,"Petrol",110,1,"Black",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.380296993842811,"Low",0.0982142857142857,"Premium"
29,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",16950,28,5,2002,44142,"Petrol",110,0,"Grey",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0.383988038602691,"Low",0.0982142857142857,"Premium"
30,"TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors",17950,30,3,2002,11090,"Petrol",110,1,"Blue",0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1.61857529305681,"Low",0.0982142857142857,"Premium"
31,"TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors",12950,29,4,2002,9750,"Petrol",97,1,"Silver",0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1.32820512820513,"Low",0.0881818181818182,"Mid-Range"
32,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",15750,22,11,2002,35199,"Petrol",97,1,"Blue",0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0.447455893633342,"Low",0.0881818181818182,"Premium"
33,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",15950,27,6,2002,29510,"Petrol",97,1,"Black",0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.540494747543206,"Low",0.0881818181818182,"Premium"
34,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",14950,26,7,2002,32692,"Petrol",97,1,"Grey",0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.457298421632204,"Low",0.0881818181818182,"Mid-Range"
35,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",15500,22,11,2002,41000,"Petrol",97,1,"Grey",0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.378048780487805,"Low",0.0881818181818182,"Premium"
36,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",15750,26,7,2002,43000,"Petrol",97,0,"Grey",0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.366279069767442,"Low",0.0881818181818182,"Premium"
37,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors",15950,25,8,2002,25000,"Petrol",97,0,"Grey",0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.638,"Low",0.0881818181818182,"Premium"
38,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors",14950,23,10,2002,10000,"Petrol",97,1,"Blue",0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1.495,"Low",0.0881818181818182,"Mid-Range"
39,"TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors",15750,32,1,2002,25329,"Petrol",97,1,"Green",0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.621816889731138,"Low",0.0881818181818182,"Premium"
40,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",14750,27,6,2002,27500,"Petrol",97,0,"Blue",0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.536363636363636,"Low",0.0881818181818182,"Mid-Range"
41,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",13950,22,11,2002,49059,"Petrol",97,0,"Blue",0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.284351495138507,"Low",0.0881818181818182,"Mid-Range"
42,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",16750,27,6,2002,44068,"Petrol",97,1,"Red",0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.38009439956431,"Low",0.0881818181818182,"Premium"
43,"TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors",13950,22,11,2002,46961,"Petrol",97,0,"Blue",0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.297055003087668,"Low",0.0881818181818182,"Mid-Range"
44,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",16950,27,6,2002,110404,"Diesel",90,0,"Red",0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.153527046121517,"High",0.0717131474103586,"Premium"
45,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",16950,22,11,2002,100250,"Diesel",90,0,"Red",0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.169077306733167,"High",0.0717131474103586,"Premium"
46,"TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors",19000,23,10,2002,84000,"Diesel",90,0,"Red",0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0.226190476190476,"Low",0.0708661417322835,"Premium"
47,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors",17950,27,6,2002,79375,"Diesel",90,1,"Grey",0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.226141732283465,"Low",0.0717131474103586,"Premium"
48,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",15800,22,11,2002,75048,"Petrol",97,1,"Blue",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0.210531926233877,"Low",0.0873873873873874,"Premium"
49,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",17950,61,11,2002,72215,"Diesel",90,1,"Grey",0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.248563317870249,"Low",0.0717131474103586,"Premium"
50,"TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors",21950,31,2,2002,64982,"Petrol",192,1,"Grey",0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0.337785848388785,"Low",0.160669456066946,"Premium"
51,"TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors",17950,22,11,2002,62636,"Diesel",90,1,"Grey",0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.286576409732422,"Low",0.0717131474103586,"Premium"
52,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",15750,30,3,2002,57086,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0.275899520022422,"Low",0.0873873873873874,"Premium"
53,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",20500,26,7,2002,56000,"Petrol",110,1,"Blue",1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0.366071428571429,"Low",0.0932203389830508,"Premium"
54,"TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors",21950,27,6,2002,49866,"Petrol",192,1,"Green",0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0.440179681546545,"Low",0.160669456066946,"Premium"
55,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors",15500,25,8,2002,49163,"Petrol",110,0,"Green",1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.315277749527083,"Low",0.0944206008583691,"Premium"
56,"TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors",13250,32,1,2002,45725,"Petrol",110,1,"Black",0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0.289775833788956,"Low",0.102325581395349,"Mid-Range"
57,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",15250,28,5,2002,43210,"Petrol",97,0,"Grey",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.352927563064106,"Low",0.0873873873873874,"Premium"
58,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",15250,26,7,2002,43000,"Petrol",97,0,"Grey",0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.354651162790698,"Low",0.0873873873873874,"Premium"
59,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",18950,23,10,2002,39704,"Petrol",110,1,"Blue",1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.477281885956075,"Low",0.0932203389830508,"Premium"
60,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",15999,30,3,2002,38950,"Petrol",110,1,"Red",0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0.410757381258023,"Low",0.0973451327433628,"Premium"
61,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",14950,22,11,2002,37400,"Petrol",97,1,"Black",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.399732620320856,"Low",0.0873873873873874,"Mid-Range"
62,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",16500,27,6,2002,37177,"Petrol",110,0,"Red",0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.443822793662748,"Low",0.0973451327433628,"Premium"
63,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",18750,31,2,2002,36544,"Petrol",110,1,"Blue",0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0.513080122591944,"Low",0.0973451327433628,"Premium"
64,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",17950,30,3,2002,33511,"Petrol",110,1,"Blue",0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0.535645012085584,"Low",0.0973451327433628,"Premium"
65,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",17950,27,6,2002,32809,"Petrol",97,1,"Black",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0.547105977018501,"Low",0.0873873873873874,"Premium"
66,"TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors",16950,26,7,2002,32181,"Petrol",110,1,"Blue",0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0.526708306143376,"Low",0.102325581395349,"Premium"
67,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",18950,28,5,2002,30993,"Petrol",110,1,"Black",0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.611428387055141,"Low",0.0973451327433628,"Premium"
68,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",14950,22,11,2002,30400,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.491776315789474,"Low",0.0873873873873874,"Mid-Range"
69,"TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors",22250,22,11,2002,30000,"Diesel",110,1,"Grey",0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0.741666666666667,"Low",0.0862745098039216,"Premium"
70,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",15950,25,8,2002,29719,"Petrol",97,1,"Black",0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0.53669369763451,"Low",0.0873873873873874,"Premium"
71,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",15950,28,5,2002,29206,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.546120660138328,"Low",0.0873873873873874,"Premium"
72,"TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors",12995,32,1,2002,29198,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0.44506473046099,"Low",0.0915094339622641,"Mid-Range"
73,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",18950,28,5,2002,28817,"Petrol",110,1,"Grey",0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0.657597945657077,"Low",0.0973451327433628,"Premium"
74,"TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors",15750,23,10,2002,28227,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.557976405569136,"Low",0.0873873873873874,"Premium"
75,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",19950,28,5,2002,28000,"Petrol",110,0,"Black",0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0.7125,"Low",0.0973451327433628,"Premium"
76,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors",16950,23,10,2002,28000,"Petrol",110,1,"Grey",0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.605357142857143,"Low",0.0986547085201794,"Premium"
77,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",18750,31,2,2002,25266,"Petrol",110,1,"Grey",0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0.742104013298504,"Low",0.0973451327433628,"Premium"
78,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",18450,27,6,2002,23489,"Petrol",110,0,"Silver",0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.785474051683767,"Low",0.0986547085201794,"Premium"
79,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",16895,29,4,2002,22575,"Petrol",110,1,"Grey",0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.748394241417497,"Low",0.0986547085201794,"Premium"
80,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors",14900,30,3,2002,22000,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.677272727272727,"Low",0.0873873873873874,"Mid-Range"
81,"TOYOTA Corolla 1.6 5drs 1 4/5-Doors",18950,25,8,2002,20019,"Petrol",110,1,"Blue",1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.946600729307158,"Low",0.0932203389830508,"Premium"
82,"TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors",17250,29,4,2002,20000,"Petrol",110,1,"Grey",0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0.8625,"Low",0.0986547085201794,"Premium"
83,"TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors",15450,25,8,2002,17003,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0.908663177086397,"Low",0.0873873873873874,"Premium"
84,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors",17950,31,2,2002,16238,"Petrol",110,1,"Blue",1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1.10543170341175,"Low",0.0932203389830508,"Premium"
85,"TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors",16650,25,8,2002,15414,"Petrol",97,1,"Grey",0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1.08018684312962,"Low",0.0873873873873874,"Premium"
86,"TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors",17450,28,5,2002,8537,"Petrol",110,1,"Grey",0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,2.04404357502636,"Low",0.0973451327433628,"Premium"
87,"TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors",14900,30,3,2002,7000,"Petrol",97,1,"Silver",0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2.12857142857143,"Low",0.0881818181818182,"Mid-Range"
